text,label,sumber
Aturan 20 Menit Makan di Tempat Tak Terpantau #PPKM #Purwokerto https://t.co/5vP2NgFKrW,0,Twitter
#BeritaTerkini #PPKM https://t.co/sPOewNypIu,0,Twitter
"Laju penyebaran Covid turun. Dengan begitu, tanggal 26 Juli 2021 bakal ada relaksasi atau pelonggaran PPKM Darurat.

Contohnya...

#PPKM  #PPKMDarurat #PPKMDaruratDemiSelamat",0,Twitter
"@rbkunwas
#indonesia #imigrasi #imigrasiindonesia #jawa #jawatimur #ponorogo #imigrasiponorogo #jatimpastihebat #kumhampasti
#rbkunwas #trenggalek #pacitan #infoponorogo #paspor #ppkm #stayhome #instagood",0,Twitter
"Persiapan 2024 👎👎👎👎kacauuu
#PPKM #IkatanCintaEp390 #IkatanCintaEp386 #17agustusan https://t.co/XXmEcMRjKr",0,Twitter
"Tetap tidur dan nganggur kawan
#PPKM #PPKMSengsarakanRakyat https://t.co/H3FjYKbuRN",0,Twitter
Bantu like dan subscribe ya masih awam makasih 🙏 #agustus #PPKM https://t.co/1m0YASYW39,0,Twitter
"Mulai hari ini kamu bisa belajar bisnis sambil #workfromhome bersama Zahir TV . 
Klik link ini untuk menonton tayangan Zahir TV https://t.co/1AedosfsH1 

#ZahirSupportWFH #PPKM https://t.co/HnBvbSb53X",0,Twitter
"anda lebihbtangguh di bandingkan dengan yang anda fikirkan

#ppkm
#kapanberakhir",0,Twitter
"Diperpanjang lagee diperpanjang lagee 😌😭
#PPKM",0,Twitter
"PPKM Level 4 Kapuas Turun ke Level 3 Masa Transisi ke Zona Orange.

https://t.co/ylcP2lSNe8

#mediaonline #jurnalisia #kapuaskalteng #ppkm https://t.co/cn69SzOmPk",0,Twitter
"Curhatane emak2 lurrr... Monggo dianggep guyonan boleh.. Dianggep serius yo rapopo.. Seng penting santuy lurrr

#gresiknews #santuy #gresiksantuy #ppkmgresik #ppkm #emakemak https://t.co/zMzaZiurC0",0,Twitter
Ini nih kegiatan gue yang selalu bikin asik menghadapi #PPKM yang gak tau sampai kapan. Gua pake @smartfrenworld smartfren Gokil MAX buat internetan karena kecepatan internetnya full 4G selama 24 jam bisa di semua aplikasi. #IniBaruGokil #KuyBisa https://t.co/Hu8iqraYZf,0,Twitter
"""Books to read when you’re staying home."" https://t.co/OF3zglQAny #AnakPedulidiMasaPandemi #Periplus #Indonesia #WorkFromHome #PPKM #parenting #Children https://t.co/s8yKfauQ3j",0,Twitter
"PPKM di Jawa-Bali Berlanjut dengan Pelonggaran, Simak Peraturan Baru untuk Kegiatan di Tempat Umum

#PPKMBerhasilLawanCovid #ppkm #Pelonggaran #Jawa #Bali #PotensiCuanBisnisPCR #LuhutDanErickDilaporkanKeKPK

https://t.co/BiFa7X474e",0,Twitter
"Ini dia tips jitu yang perlu kamu ketahui supaya kamu bisa berbelanja lebih aman, nyaman, dan praktis sehari-hari di masa PPKM Darurat ini.

#JNE #jnepadang #ConnectingHappiness #ppkm https://t.co/txjW2PsZFl",0,Twitter
"Yuk! Bersama tetap semangat dan penuhi dengan rasa sabar di situasi pandemi ini 💪

#PPKM #SelaluTerapkanProkes #banggajadiwongcirebon #indonesiatangguh #indonesiatumbuh #pemdakotacrb #kotacrb #kotawali #kotaudang #kotacirebon #vaksinasikotacirebon #cirebon #jawabarat #indonesia",0,Twitter
Lebih baik capek berkerja daripada capek cari kerja #PPKM kapan kelar nya?,0,Twitter
"PPKM Bosan di rumah?🙈 Siapa bilang.. PPKM Versiku Cek🤭 searching dan nambah referensi menu masakan ditemani smartfren GOKIL MAX anti lelet dan bisa dipakai 24 jam dsemua aplikasi😍 
Intip aja skuyy https://t.co/avza3oUZ1J
@smartfrenworld
#KuyBisa
#IniBaruGokil
#Rejekiwow
#PPKM",0,Twitter
"Apabila usul ditolak, kritik dilarang tanpa ditimbang, dan dituduh subversif, hanya ada 1 kata ""lawan""
#ppkm #stoppkm https://t.co/qT44QDdTmN",0,Twitter
"Varian baru virus corona B117 yang pertama kali dideteksi dan ditemukan di Inggris, kini sudah menyebrang ke berbagai negara termasuk ke Indonesia.

#JagaJakarta #JakartaTanggapCorona #covid19 #HadapiBersama #JakartaBermasker #pandemibelumusai #janganlupa3M #ppkm https://t.co/UK8U2SZ3ri",0,Twitter
"Panjangin aja terus. panjang mie ayam enak, La ini #PPKM",0,Twitter
"@aewin86 Pikir Pikir Kayaknya Menang

#GA
#PPKM",0,Twitter
"Dirumah Capek, Kerja Capek, Berlibur juga Capek tapi sukacita 🤔
Berarti kita harus PILIH apapun yang dilakukan
“Bersukacitalah senantiasa dalam Tuhan! Sekali lagi kukatakan: Bersukacitalah!” (Filipi 4:4)

#ppkm #capek #sukacita #renungan #jhcc #gscc #jhccpik #smc https://t.co/d85cxGujb4",0,Twitter
"#Pemberlakuan_Pembatasan_Kegiatan_Masyarakat #PPKM #Kabupaten_Beltim

https://t.co/F3FpaK365V",0,Twitter
"Rugi karena PPKM, Pelaku UMKM di Padang Rencanakan Aksi Kibarkan Bendera Putih via @langgamid https://t.co/FLuKnKTFWZ

#UMKMBangkit #PPKMHanyaUntukRakyat #PPKMLevel4 #PPKM",0,Twitter
"Abis liat video di tiktok, di salah satu pos penyekatan ppkm tidak berjalan dengan baik. Kalo emang ppkm gk efektif segera di stop, daripada buang buang anggaran lebih baik biarkan liga berjalan, imunitas dijamin tumbuh #ppkm #ppkmdarurat  #liga1",0,Twitter
"Juru Bicara Vaksinasi Kemenkes, Siti Nadia Tarmizi : 1.100 hingga 900. Artinya apa yg terjadi angka kematian itu double dari situasi yg di Desember 2020. Kalau berbiacara kasus bukan double lagi, tapi sudah triple empat kali lipat.
#PPKM #PPKMdarurat #Kemenkes",0,Twitter
"""Yang bisa kita lakukan adalah mengendalikan. Statement ini penting sekali. Supaya tidak terjadi euforia yang berlebihan, senang-senang yang berlebihan,"" kata Presiden Jokowi.

#jokowi #presidenjokowi #covid19 #pandemi #ppkm  #prokes #cerdascovid19 #lawancovid19 https://t.co/2dGpZMcKtu",0,Twitter
"Dah lah by one chow yuk pak?
#PPKM",0,Twitter
"Juru Bicara Vaksinasi Kemenkes, Siti Nadia Tarmizi : Pandemi ini urusan bangsa bukan Pemerintah. Eksistensi di Internasional jgn sampai jadi negara masuk kriterial travel band. 
#PPKM #PPKMdarurat #Kemenkes",0,Twitter
"PPKM Darurat Ganti Istilah, Kini Jadi PPKM Level 1-4 

#merahputihcom #ppkmdarurat #ppkm https://t.co/vaPvZ0udJS",0,Twitter
"Kawat berduri yang digunakan untuk penyekatan di Tugu Juang mengakibatkan penumpukan kendaraan dan dinilai berlebihan. Pengendara  tetap menerobosnya melalui jalan-jalan alternatif.

#PPKMLevel4 #PPKM #penyekatan #bandarlampung #lampung #lampostco 
https://t.co/Z3dtSXMB5e",0,Twitter
"Tracing Pasien Covid di Kota Malang Tak Penuhi Standart WHO. Akibatnya, Kota Malang bertahan di level 3 PPKM.
.
#COVID19 #WHO @WHO #PPKM #RI #KotaMalang #tracing @Diskes_KoMal 
https://t.co/M8focYU65f",0,Twitter
"#butterflysoup #ppkm
was rewatching this movie and the music in the intro got me thinking of them https://t.co/Wi3DyXcdY0",0,Twitter
